status_id,status_value,attr_type_def_id
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
9144596250213377979,Available,9144596250213377978
9144596250213377980,Not Available,9144596250213377978
9144596250213377982,Locked,9144596250213377978
9144596250213377983,In Use,9144596250213377978
9144596250213377984,Pending,9144596250213377978
9144596250213377990,Reserved,9144596250213377978
9152271267513284273,External SP,9144596250213377978
9152271267513284274,Ported Out,9144596250213377978
9152277830013294228,Quarantined,9144596250213377978
9154679080313610874,Aging,9144596250213377978
9155181491713413508,Assigned,9144596250213377978
