subs_status_id,subs_status_value,attr_type_def_id
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
9132857804713527190,6#00C800$Activation in progress,9132857804713527187
9132857804713527191,6#009B00$Active,9132857804713527187
9132857804713527192,6#6464FF$Suspension in progress,9132857804713527187
9132857804713527193,6#0033CC$Suspended,9132857804713527187
9132857804713527195,6#00C800$Resuming in progress,9132857804713527187
9132857804713527196,6#9B9B9B$Disconnection in progress,9132857804713527187
9132857804713527197,6#646464$Disconnected,9132857804713527187
9132857804713527198,6#00C800$Modification in progress,9132857804713527187
9132857804713527199,6#FF0000$Cancelling of activation,9132857804713527187
9132857804713527200,6#FF0000$Cancelling of disconnection,9132857804713527187
9132857804713527201,6#FF0000$Cancelling of modification,9132857804713527187
9132857804713527202,6#FF0000$Cancelling of suspension,9132857804713527187
9132857804713527203,6#FF0000$Cancelling of resuming,9132857804713527187
9134626543113464316,6#FFFFFF$Planned,9132857804713527187
9135241631713410866,6#5B8630$Activation passed PONR,9132857804713527187
9135241631713410872,6#6464FF$Suspension passed PONR,9132857804713527187
9135241631713410876,6#9B9B9B$Disconnection passed PONR,9132857804713527187
9135241631713410878,6#5B8630$Resuming passed PONR,9132857804713527187
9135241631713410879,6#5B8630$Modification passed PONR,9132857804713527187
9135793174213637730,6#646464$Activation Cancelled,9132857804713527187
9137949657313151303,6#5B8630$Completed,9132857804713527187
9143940536813993067,6#4D004D$Expired,9132857804713527187
