account_status_id,account_status_value,attr_type_def_id
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
9135405314613494989,6#9BBB59$ Active,9135405314613494988
9135405314613494990,6#CCFF99$PE  Pending,9135405314613494988
9135405314613494991,6#FFFF33$SU  Suspended,9135405314613494988
9135405314613494992,6#BBBBBB$ Awaiting Termination,9135405314613494988
9135405314613494993,6#E50000$ Terminated,9135405314613494988
