productoffering_status_id,productoffering_status_value,attr_type_def_id
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
7021759771013444980,Under Development,7021759771013444979
7021759771013444981,Active,7021759771013444979
7021759771013444982,Historic,7021759771013444979
8121960709013849138,Tested,7021759771013444979
9130238808213850102,Archived,7021759771013444979
9140545748713273960,Cancelled,7021759771013444979
9140545748713273964,Developed,7021759771013444979
9140545748713273965,Testing,7021759771013444979
9140545748713273966,Released,7021759771013444979
9140545748713273967,Discontinued,7021759771013444979
9140545748713273968,Eliminated,7021759771013444979
9140545748713273969,Suspended,7021759771013444979
9141280820013534333,Prepared for Sync,7021759771013444979
