logical_status_id,logical_status_value,attr_type_def_id
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
9141687398113679751,Available,9141687398113679748
9141687398113679756,In Transit,9141687398113679748
9141687398113679757,In Use,9141687398113679748
9141687398113679759,Not Available,9141687398113679748
9141687398113679760,Planned,9141687398113679748
9141885224813291681,Reserved,9141687398113679748
9146590910013594703,Testing,9141687398113679748
9146590910013594704,Sold,9141687398113679748
9146590910013594705,Returned,9141687398113679748
9147688090213931351,Back to WHS,9141687398113679748
9147688090213931352,To Be Repaired,9141687398113679748
9147688090213931353,To Be Decommissioned,9141687398113679748
